model,checkpoint,protein_band,ligand_tier,n_targets,ef_mean,ef_se,thin_n_lt_10
hypseek_rk,as-published,in training,远 0.35–0.5,185,18.0985,1.3392,0
hypseek_rk,as-published,in training,近 0.5–0.7,178,36.0888,1.8771,0
hypseek_rk,as-published,in training,极近 ≥0.7,123,49.7098,2.4395,0
hypseek_rk,as-published,>=60%,全新 <0.35,12,0.9104,0.9104,0
hypseek_rk,as-published,>=60%,远 0.35–0.5,15,4.4973,1.7617,0
hypseek_rk,as-published,>=60%,近 0.5–0.7,11,18.5683,7.0042,0
hypseek_rk,as-published,>=60%,极近 ≥0.7,6,28.4413,12.2411,1
hypseek_rk,as-published,20-60%,全新 <0.35,16,6.7845,3.1135,0
hypseek_rk,as-published,20-60%,远 0.35–0.5,20,7.4345,3.0689,0
hypseek_rk,as-published,20-60%,近 0.5–0.7,11,13.8305,5.6367,0
hypseek_rk,as-published,20-60%,极近 ≥0.7,9,27.7462,9.0427,1
hypseek_rk,as-published,no hit,全新 <0.35,21,2.5735,1.6440,0
hypseek_rk,as-published,no hit,远 0.35–0.5,25,6.8102,2.5771,0
hypseek_rk,as-published,no hit,近 0.5–0.7,17,8.0652,4.1780,0
hypseek_rk,as-published,no hit,极近 ≥0.7,9,14.9269,5.0544,1
drugclip,as-published,in training,全新 <0.35,127,6.8419,1.0834,0
drugclip,as-published,in training,远 0.35–0.5,190,10.9959,1.0626,0
drugclip,as-published,in training,近 0.5–0.7,184,16.9620,1.6184,0
drugclip,as-published,in training,极近 ≥0.7,127,18.9162,2.1406,0
drugclip,as-published,>=60%,全新 <0.35,12,2.0008,1.4125,0
drugclip,as-published,>=60%,远 0.35–0.5,15,9.7918,4.8714,0
drugclip,as-published,>=60%,近 0.5–0.7,11,12.0204,6.4068,0
drugclip,as-published,>=60%,极近 ≥0.7,6,20.4353,8.8461,1
drugclip,as-published,20-60%,全新 <0.35,16,6.4365,3.1536,0
drugclip,as-published,20-60%,远 0.35–0.5,20,8.3864,4.0279,0
drugclip,as-published,20-60%,近 0.5–0.7,11,9.4172,3.7919,0
drugclip,as-published,20-60%,极近 ≥0.7,9,22.2643,7.2707,1
drugclip,as-published,no hit,全新 <0.35,22,6.0817,2.9346,0
drugclip,as-published,no hit,远 0.35–0.5,26,7.1390,2.7591,0
drugclip,as-published,no hit,近 0.5–0.7,17,10.0275,3.8970,0
drugclip,as-published,no hit,极近 ≥0.7,9,2.2222,2.2222,1
bindclip_randneg,as-published,in training,全新 <0.35,127,5.3111,0.9663,0
bindclip_randneg,as-published,in training,远 0.35–0.5,190,10.5088,1.0638,0
bindclip_randneg,as-published,in training,近 0.5–0.7,184,18.1993,1.6577,0
bindclip_randneg,as-published,in training,极近 ≥0.7,127,20.9656,2.0893,0
bindclip_randneg,as-published,>=60%,全新 <0.35,12,4.6026,2.8079,0
bindclip_randneg,as-published,>=60%,远 0.35–0.5,15,8.3161,3.6574,0
bindclip_randneg,as-published,>=60%,近 0.5–0.7,11,10.8730,4.9713,0
