layer,uniprot,n_actives,n_decoys,ef1,ef5,bedroc,auroc,pr_auc
L2,P04150,286,14300,51.0000,19.9110,0.9944,0.9977,0.9966
L2,P04293,355,17750,49.8791,19.9834,0.9860,0.9998,0.9745
L2,P04626,1004,50200,51.0000,19.8942,0.9953,0.9983,0.9955
L2,P06239,715,35750,50.0219,19.8799,0.9741,0.9966,0.9736
L2,P06241,54,2700,51.0000,19.2174,0.9662,0.9704,0.9391
L2,P06276,139,6950,51.0000,18.6761,0.9643,0.9769,0.9334
L2,P07333,773,38650,50.6127,19.8621,0.9901,0.9975,0.9837
L2,P07711,113,5650,51.0000,19.5882,0.9880,0.9919,0.9765
L2,P07949,263,13150,51.0000,19.8376,0.9918,0.9978,0.9857
L2,P08069,359,17950,51.0000,19.9323,0.9983,0.9989,0.9970
L2,P08173,78,3900,51.0000,18.9648,0.9669,0.9719,0.9387
L2,P08581,831,41550,50.8797,19.8226,0.9927,0.9955,0.9865
L2,P08908,207,10350,50.5189,19.8011,0.9927,0.9935,0.9862
L2,P08922,51,2550,49.1111,18.6870,0.9492,0.9894,0.9131
L2,P09619,429,21450,50.3014,19.9059,0.9870,0.9982,0.9799
L2,P0DMS8,50,2500,51.0000,18.7266,0.9680,0.9785,0.9357
L2,P10275,145,7250,51.0000,19.5730,0.9916,0.9981,0.9840
L2,P10398,103,5150,51.0000,19.9734,0.9973,0.9999,0.9961
L2,P10415,1007,50350,51.0000,19.9194,0.9980,0.9977,0.9963
L2,P11309,66,3300,51.0000,19.0118,0.9633,0.9820,0.9331
L2,P11362,501,25050,51.0000,19.7934,0.9914,0.9972,0.9852
L2,P11474,199,9950,47.5000,19.9783,0.9506,0.9992,0.9179
L2,P11802,1402,70100,50.3589,19.9094,0.9884,0.9978,0.9788
L2,P14756,71,3550,51.0000,19.8956,0.9999,1.0000,1.0000
L2,P15428,361,18050,51.0000,19.9902,1.0000,1.0000,1.0000
L2,P18825,125,6250,51.0000,19.8245,0.9965,0.9920,0.9920
L2,P20618,73,3650,49.6579,19.9091,0.9797,0.9995,0.9714
L2,P21554,53,2650,51.0000,19.5000,0.9838,0.9850,0.9799
L2,P21802,484,24200,51.0000,19.8219,0.9925,0.9985,0.9870
L2,P22413,524,26200,51.0000,19.7973,0.9957,0.9960,0.9909
L2,P22455,116,5800,51.0000,19.1250,0.9760,0.9879,0.9541
L2,P22607,384,19200,51.0000,19.8276,0.9934,0.9987,0.9886
L2,P23458,622,31100,51.0000,19.8601,0.9926,0.9978,0.9872
L2,P23946,71,3550,51.0000,19.6154,0.9941,0.9963,0.9869
L2,P24941,1629,81450,49.5884,19.8770,0.9751,0.9973,0.9608
L2,P27338,124,6200,51.0000,18.1798,0.9417,0.9832,0.8994
L2,P27487,116,5800,51.0000,19.6419,0.9842,0.9889,0.9709
L2,P28074,325,16250,51.0000,19.9940,0.9985,0.9999,0.9978
L2,P28335,296,14800,51.0000,19.7245,0.9934,0.9940,0.9862
L2,P28482,665,33250,51.0000,19.9670,0.9994,0.9996,0.9986
L2,P29274,777,38850,51.0000,19.9934,0.9965,0.9999,0.9983
L2,P29275,358,17900,51.0000,19.9478,0.9981,0.9999,0.9974
L2,P29597,1372,68600,51.0000,19.9540,0.9982,0.9992,0.9968
L2,P30530,928,46400,50.1392,19.9734,0.9866,0.9997,0.9723
L2,P30542,114,5700,51.0000,19.9794,0.9999,1.0000,1.0000
L2,P31391,100,5000,51.0000,20.0000,0.9998,1.0000,0.9998
L2,P31645,109,5450,51.0000,19.8129,0.9854,0.9967,0.9908
L2,P31749,213,10650,51.0000,19.9688,0.9997,1.0000,0.9996
L2,P31751,118,5900,51.0000,19.9934,1.0000,1.0000,1.0000
L2,P32245,208,10400,51.0000,19.7853,0.9941,0.9936,0.9907
L2,P34913,62,3100,51.0000,19.5660,0.9928,0.9992,0.9879
L2,P34914,198,9900,51.0000,19.9960,0.9991,1.0000,0.9998
L2,P34972,63,3150,51.0000,19.6398,0.9900,0.9917,0.9804
