model,layer,min_actives,n_targets,EF1%,BEDROC,PR-AUC,AUROC
bindclip_randneg,L3,10,49,8.2053,0.1667,0.1331,0.6936
bindclip_randneg,L3,20,36,7.1220,0.1469,0.1221,0.6925
bindclip_randneg,L3,30,27,7.6235,0.1619,0.1295,0.7111
bindclip_randneg,L3,50,20,7.7392,0.1692,0.1322,0.7243
bindclip_randneg,L4,10,226,5.6849,0.1205,0.1066,0.6277
bindclip_randneg,L4,20,170,5.9814,0.1255,0.1078,0.6381
bindclip_randneg,L4,30,145,6.3861,0.1314,0.1083,0.6274
bindclip_randneg,L4,50,109,6.8713,0.1426,0.1154,0.6458
bindclip_hardneg,L1,10,320,17.8117,0.3399,0.2640,0.7246
bindclip_hardneg,L1,20,186,18.3301,0.3462,0.2574,0.7485
bindclip_hardneg,L1,30,135,19.0652,0.3569,0.2630,0.7540
bindclip_hardneg,L1,50,83,18.9207,0.3520,0.2568,0.7443
bindclip_hardneg,L2,10,449,12.5663,0.2471,0.1924,0.7143
bindclip_hardneg,L2,20,378,12.5695,0.2470,0.1868,0.7111
bindclip_hardneg,L2,30,336,12.5083,0.2462,0.1847,0.7175
bindclip_hardneg,L2,50,267,12.9493,0.2517,0.1872,0.7166
bindclip_hardneg,L3,10,49,7.8979,0.1557,0.1264,0.6417
bindclip_hardneg,L3,20,36,7.1810,0.1454,0.1177,0.6369
bindclip_hardneg,L3,30,27,8.4112,0.1684,0.1314,0.6734
bindclip_hardneg,L3,50,20,6.9722,0.1397,0.1024,0.6648
bindclip_hardneg,L4,10,226,6.0029,0.1227,0.1093,0.6462
bindclip_hardneg,L4,20,170,5.3906,0.1111,0.0970,0.6464
bindclip_hardneg,L4,30,145,5.6323,0.1159,0.0969,0.6352
bindclip_hardneg,L4,50,109,6.1594,0.1239,0.0993,0.6341
sprint,L1,10,282,2.5182,0.0551,0.0462,0.5789
sprint,L1,20,160,2.5084,0.0535,0.0423,0.5854
sprint,L1,30,115,2.5035,0.0545,0.0411,0.5751
sprint,L1,50,72,2.1534,0.0490,0.0355,0.5586
sprint,L2,10,386,1.8393,0.0404,0.0387,0.5612
sprint,L2,20,318,1.7617,0.0400,0.0368,0.5621
sprint,L2,30,280,1.8021,0.0407,0.0361,0.5595
sprint,L2,50,221,1.7541,0.0387,0.0336,0.5560
sprint,L3,10,39,1.3165,0.0377,0.0368,0.4845
sprint,L3,20,27,1.2720,0.0328,0.0307,0.4965
sprint,L3,30,21,1.6354,0.0418,0.0333,0.4934
sprint,L3,50,17,1.5440,0.0395,0.0327,0.4953
sprint,L4,10,202,1.3693,0.0347,0.0374,0.5226
sprint,L4,20,151,1.3895,0.0342,0.0339,0.5213
sprint,L4,30,127,1.1362,0.0305,0.0309,0.5208
sprint,L4,50,96,1.3525,0.0319,0.0291,0.5188
