model,layer,tier,n_targets,n_actives_median,spearman_mean,spearman_sem,frac_positive
litenclip,L2,pooled,149,,0.0810,0.0240,0.570
litenclip,L3,全新 <0.35,13,81,-0.0021,0.0707,0.462
litenclip,L3,远 0.35–0.5,15,42,0.0784,0.1002,0.467
litenclip,L3,近 0.5–0.7,7,35,-0.0064,0.1730,0.429
litenclip,L3,极近 ≥0.7,4,13,0.2542,0.1715,0.750
litenclip,L3,pooled,16,,0.0089,0.0549,0.500
litenclip,L4,全新 <0.35,36,55,0.1118,0.0480,0.694
litenclip,L4,远 0.35–0.5,51,67,0.1188,0.0381,0.667
litenclip,L4,近 0.5–0.7,32,24,0.0117,0.0591,0.594
litenclip,L4,极近 ≥0.7,20,22,0.1086,0.0807,0.750
litenclip,L4,pooled,54,,0.1141,0.0361,0.704
drugclip,L1,全新 <0.35,4,22,0.0346,0.3002,0.750
drugclip,L1,远 0.35–0.5,27,16,0.0409,0.0755,0.593
drugclip,L1,近 0.5–0.7,39,37,0.1734,0.0591,0.718
drugclip,L1,极近 ≥0.7,44,47,0.1211,0.0361,0.682
drugclip,L1,pooled,44,,0.0680,0.0391,0.659
drugclip,L2,全新 <0.35,105,51,0.0204,0.0294,0.533
drugclip,L2,远 0.35–0.5,149,80,0.0468,0.0248,0.523
drugclip,L2,近 0.5–0.7,126,59,-0.0101,0.0276,0.508
drugclip,L2,极近 ≥0.7,66,13,0.0930,0.0501,0.591
drugclip,L2,pooled,152,,0.0333,0.0212,0.533
drugclip,L3,全新 <0.35,13,81,-0.0041,0.0466,0.385
drugclip,L3,远 0.35–0.5,15,42,0.0436,0.0806,0.533
drugclip,L3,近 0.5–0.7,7,35,-0.0462,0.1429,0.571
drugclip,L3,极近 ≥0.7,4,13,0.0016,0.1396,0.250
drugclip,L3,pooled,16,,-0.0038,0.0502,0.500
drugclip,L4,全新 <0.35,37,58,-0.0255,0.0542,0.351
drugclip,L4,远 0.35–0.5,52,66,0.0063,0.0405,0.500
drugclip,L4,近 0.5–0.7,32,24,0.0026,0.0606,0.500
drugclip,L4,极近 ≥0.7,20,22,-0.0974,0.0738,0.350
drugclip,L4,pooled,55,,0.0100,0.0322,0.545
