target,n_shortlist,n_actives,method,p_at_5,p_at_10,mean_active_rank,auroc
O14965,50,6,retrieval,0.600,0.500,8.50,0.8864
O14965,50,6,boltz_N1,0.600,0.400,7.17,0.9167
O14965,50,6,boltz_N5,0.600,0.500,6.17,0.9394
O14965,50,6,fusion_N1,0.800,0.500,4.67,0.9716
O14965,50,6,fusion_N5,1.000,0.500,4.33,0.9811
O75874,50,2,retrieval,0.000,0.000,29.50,0.4167
O75874,50,2,boltz_N1,0.200,0.100,26.00,0.4896
O75874,50,2,boltz_N5,0.200,0.100,24.50,0.5208
O75874,50,2,fusion_N1,0.200,0.100,26.50,0.4844
O75874,50,2,fusion_N5,0.200,0.100,27.00,0.4740
P04798,50,2,retrieval,0.200,0.100,7.00,0.8854
P04798,50,2,boltz_N1,0.200,0.100,12.00,0.7812
P04798,50,2,boltz_N5,0.200,0.100,14.00,0.7396
P04798,50,2,fusion_N1,0.200,0.100,7.00,0.8854
P04798,50,2,fusion_N5,0.200,0.100,8.50,0.8542
P11511,50,5,retrieval,0.800,0.400,7.60,0.8978
P11511,50,5,boltz_N1,0.400,0.200,24.80,0.5156
P11511,50,5,boltz_N5,0.200,0.200,25.60,0.4978
P11511,50,5,fusion_N1,0.400,0.300,15.80,0.7089
P11511,50,5,fusion_N5,0.400,0.200,15.60,0.7200
P25779,50,4,retrieval,0.400,0.200,18.75,0.6467
P25779,50,4,boltz_N1,0.400,0.200,10.25,0.8315
P25779,50,4,boltz_N5,0.400,0.200,10.25,0.8315
P25779,50,4,fusion_N1,0.400,0.200,14.50,0.7391
P25779,50,4,fusion_N5,0.400,0.200,15.25,0.7255
P28062,50,6,retrieval,1.000,0.600,3.50,1.0000
P28062,50,6,boltz_N1,0.200,0.200,30.83,0.3788
P28062,50,6,boltz_N5,0.200,0.200,30.00,0.3977
P28062,50,6,fusion_N1,0.400,0.200,12.33,0.7955
P28062,50,6,fusion_N5,0.400,0.200,13.17,0.7803
P28482,50,5,retrieval,0.800,0.400,4.60,0.9644
P28482,50,5,boltz_N1,0.200,0.100,17.00,0.6889
P28482,50,5,boltz_N5,0.200,0.100,16.60,0.6978
P28482,50,5,fusion_N1,0.200,0.400,7.60,0.8956
P28482,50,5,fusion_N5,0.400,0.400,7.40,0.8978
P43405,50,6,retrieval,0.400,0.400,11.67,0.8144
P43405,50,6,boltz_N1,0.400,0.200,11.00,0.8295
P43405,50,6,boltz_N5,0.400,0.300,10.50,0.8409
P43405,50,6,fusion_N1,0.600,0.400,8.50,0.8883
P43405,50,6,fusion_N5,0.600,0.400,8.67,0.8864
P49137,50,4,retrieval,0.600,0.300,8.75,0.8641
P49137,50,4,boltz_N1,0.200,0.200,8.75,0.8641
P49137,50,4,boltz_N5,0.200,0.200,9.75,0.8424
P49137,50,4,fusion_N1,0.600,0.400,4.50,0.9565
P49137,50,4,fusion_N5,0.400,0.400,4.75,0.9511
P49760,50,6,retrieval,0.800,0.600,3.83,0.9924
P49760,50,6,boltz_N1,0.600,0.400,10.83,0.8333
P49760,50,6,boltz_N5,0.400,0.500,9.83,0.8561
P49760,50,6,fusion_N1,0.800,0.500,5.50,0.9545
P49760,50,6,fusion_N5,1.000,0.500,4.67,0.9716
P53350,50,5,retrieval,0.000,0.000,28.80,0.4289
P53350,50,5,boltz_N1,0.600,0.500,5.00,0.9556
P53350,50,5,boltz_N5,0.600,0.300,7.40,0.9022
P53350,50,5,fusion_N1,0.200,0.200,13.60,0.7667
P53350,50,5,fusion_N5,0.200,0.200,15.60,0.7178
P68400,50,6,retrieval,0.800,0.500,9.17,0.8712
P68400,50,6,boltz_N1,0.000,0.100,22.83,0.5606
P68400,50,6,boltz_N5,0.200,0.100,23.33,0.5492
P68400,50,6,fusion_N1,0.400,0.400,11.50,0.8182
P68400,50,6,fusion_N5,0.400,0.300,12.00,0.8144
