baseline,layer,uniprot,n_actives,spearman
oracle,L4,P52429,81,0.4944
oracle,L4,P54278,85,0.8582
oracle,L4,P57059,84,0.5642
oracle,L4,Q03164,268,0.5048
oracle,L4,Q08211,707,0.5830
oracle,L4,Q08828,68,0.1222
oracle,L4,Q10469,171,0.5503
oracle,L4,Q13191,1232,0.7532
oracle,L4,Q13233,58,0.7816
oracle,L4,Q13535,477,0.6973
oracle,L4,Q13574,576,0.5554
oracle,L4,Q13724,529,0.8877
oracle,L4,Q15078,52,0.4176
oracle,L4,Q16236,86,0.6038
oracle,L4,Q16739,309,0.8483
oracle,L4,Q16832,326,0.7489
oracle,L4,Q5JRX3,57,0.7923
oracle,L4,Q6SZW1,243,0.9194
oracle,L4,Q7Z3E1,574,0.8498
oracle,L4,Q7Z5P4,894,0.6520
oracle,L4,Q86SK9,54,-0.1951
oracle,L4,Q86UE8,68,0.4271
oracle,L4,Q8N1C3,201,0.8464
oracle,L4,Q8WYB5,192,0.4781
oracle,L4,Q92551,192,0.3156
oracle,L4,Q92794,859,0.8272
oracle,L4,Q96DB2,71,0.6882
oracle,L4,Q96GX5,258,0.7895
oracle,L4,Q96KP4,110,0.1429
oracle,L4,Q9BQA1,62,0.5831
oracle,L4,Q9H0K1,109,0.6632
oracle,L4,Q9HCE5,193,0.5416
oracle,L4,Q9NPH5,96,0.5185
oracle,L4,Q9NR19,142,0.4892
oracle,L4,Q9UBM7,299,0.5638
oracle,L4,Q9UHH9,91,0.4305
oracle,L4,Q9UKP4,289,0.6925
oracle,L4,Q9ULC5,179,0.4313
oracle,L4,Q9ULV8,569,0.7023
oracle,L4,Q9Y2I7,394,0.5613
learned_ridge,L1,O15379,141,0.5135
learned_ridge,L1,O43353,246,0.1967
learned_ridge,L1,O60341,104,-0.1665
learned_ridge,L1,O60674,228,0.6635
learned_ridge,L1,O60885,58,0.1067
learned_ridge,L1,O75469,82,-0.0421
learned_ridge,L1,P00734,149,0.2707
