model,layer,uniprot,n_molecules,order_used
hypseek_rk,L1,P35372,1427,lmdb
hypseek_rk,L1,P35968,6924,lmdb
hypseek_rk,L1,P36776,1020,lmdb
hypseek_rk,L1,P36888,4282,lmdb
hypseek_rk,L1,P36897,916,lmdb
hypseek_rk,L1,P37231,867,lmdb
hypseek_rk,L1,P41143,713,FAIL
hypseek_rk,L1,P41145,9834,FAIL
hypseek_rk,L1,P41182,3208,lmdb
hypseek_rk,L1,P41240,915,lmdb
hypseek_rk,L1,P41595,4634,FAIL
hypseek_rk,L1,P42330,1682,lmdb
hypseek_rk,L1,P42336,4536,lmdb
hypseek_rk,L1,P42345,1683,FAIL
hypseek_rk,L1,P43166,4126,lmdb
hypseek_rk,L1,P43405,559,lmdb
hypseek_rk,L1,P43490,867,lmdb
hypseek_rk,L1,P45983,1733,FAIL
hypseek_rk,L1,P45984,1631,FAIL
hypseek_rk,L1,P47989,2804,lmdb
hypseek_rk,L1,P48039,662,lmdb
hypseek_rk,L1,P48735,560,lmdb
hypseek_rk,L1,P48736,6319,FAIL
hypseek_rk,L1,P49137,509,lmdb
hypseek_rk,L1,P49286,914,lmdb
hypseek_rk,L1,P49327,33880,lmdb
hypseek_rk,L1,P49759,561,lmdb
hypseek_rk,L1,P49760,662,FAIL
hypseek_rk,L1,P49840,510,lmdb
hypseek_rk,L1,P49841,1223,lmdb
hypseek_rk,L1,P50053,1275,lmdb
hypseek_rk,L1,P50406,3415,lmdb
hypseek_rk,L1,P50613,1120,FAIL
hypseek_rk,L1,P50750,3416,FAIL
hypseek_rk,L1,P51449,2038,lmdb
hypseek_rk,L1,P51531,867,lmdb
hypseek_rk,L1,P51532,507,lmdb
hypseek_rk,L1,P51617,765,lmdb
hypseek_rk,L1,P51812,815,lmdb
hypseek_rk,L1,P51813,764,lmdb
hypseek_rk,L1,P51955,866,lmdb
hypseek_rk,L1,P52333,13042,lmdb
hypseek_rk,L1,P53350,1223,lmdb
hypseek_rk,L1,P53634,2953,lmdb
hypseek_rk,L1,P53779,1631,FAIL
hypseek_rk,L1,P54646,1171,lmdb
hypseek_rk,L1,P55055,661,FAIL
hypseek_rk,L1,P56524,1428,lmdb
hypseek_rk,L1,P56817,13247,lmdb
hypseek_rk,L1,P61964,867,lmdb
hypseek_rk,L1,P62937,917,lmdb
hypseek_rk,L1,P68400,714,FAIL
hypseek_rk,L1,P78527,509,lmdb
hypseek_rk,L1,P78540,815,lmdb
hypseek_rk,L1,P80457,1631,lmdb
hypseek_rk,L1,Q00534,561,lmdb
hypseek_rk,L1,Q00535,968,FAIL
hypseek_rk,L1,Q01650,918,lmdb
hypseek_rk,L1,Q02127,3766,lmdb
hypseek_rk,L1,Q02750,713,lmdb
hypseek_rk,L1,Q03181,764,lmdb
hypseek_rk,L1,Q04609,1836,lmdb
hypseek_rk,L1,Q04759,968,lmdb
hypseek_rk,L1,Q05397,4588,lmdb
hypseek_rk,L1,Q05586,2240,FAIL
hypseek_rk,L1,Q06124,1424,lmdb
hypseek_rk,L1,Q06187,18092,lmdb
hypseek_rk,L1,Q07343,2396,lmdb
hypseek_rk,L1,Q07422,612,lmdb
hypseek_rk,L1,Q07817,709,lmdb
hypseek_rk,L1,Q07820,2647,lmdb
hypseek_rk,L1,Q07869,764,lmdb
hypseek_rk,L1,Q07889,1070,FAIL
hypseek_rk,L1,Q07912,510,lmdb
hypseek_rk,L1,Q08345,968,lmdb
hypseek_rk,L1,Q08499,917,lmdb
hypseek_rk,L1,Q08881,815,lmdb
hypseek_rk,L1,Q12866,2292,lmdb
hypseek_rk,L1,Q12879,865,lmdb
hypseek_rk,L1,Q12884,2446,lmdb
hypseek_rk,L1,Q13043,2549,lmdb
hypseek_rk,L1,Q13085,612,lmdb
hypseek_rk,L1,Q13131,1326,lmdb
hypseek_rk,L1,Q13133,815,FAIL
hypseek_rk,L1,Q13164,815,lmdb
hypseek_rk,L1,Q13188,2548,lmdb
hypseek_rk,L1,Q13224,1731,lmdb
hypseek_rk,L1,Q13315,712,lmdb
hypseek_rk,L1,Q13464,1119,lmdb
hypseek_rk,L1,Q13526,1018,lmdb
hypseek_rk,L1,Q13546,2753,lmdb
hypseek_rk,L1,Q13547,18393,lmdb
hypseek_rk,L1,Q13627,5653,lmdb
hypseek_rk,L1,Q13822,1426,lmdb
