model,layer,uniprot,n_molecules,order_used
ligunity_protein_ranking,L1,P00734,7595,lmdb
ligunity_protein_ranking,L1,P00742,1019,lmdb
ligunity_protein_ranking,L1,P00915,8612,FAIL
ligunity_protein_ranking,L1,P00918,12485,FAIL
ligunity_protein_ranking,L1,P01116,2593,lmdb
ligunity_protein_ranking,L1,P03372,2038,lmdb
ligunity_protein_ranking,L1,P04049,867,lmdb
ligunity_protein_ranking,L1,P04626,4890,lmdb
ligunity_protein_ranking,L1,P04629,3262,lmdb
ligunity_protein_ranking,L1,P04798,3210,FAIL
ligunity_protein_ranking,L1,P05089,2906,lmdb
ligunity_protein_ranking,L1,P05177,2139,FAIL
ligunity_protein_ranking,L1,P05771,561,lmdb
ligunity_protein_ranking,L1,P05979,1530,lmdb
ligunity_protein_ranking,L1,P06213,662,lmdb
ligunity_protein_ranking,L1,P06239,3463,lmdb
ligunity_protein_ranking,L1,P06276,2498,lmdb
ligunity_protein_ranking,L1,P06493,1884,FAIL
ligunity_protein_ranking,L1,P07333,5251,FAIL
ligunity_protein_ranking,L1,P07550,612,lmdb
ligunity_protein_ranking,L1,P07711,2091,lmdb
ligunity_protein_ranking,L1,P07900,1479,FAIL
ligunity_protein_ranking,L1,P07948,663,lmdb
ligunity_protein_ranking,L1,P07949,2090,lmdb
ligunity_protein_ranking,L1,P08069,2038,lmdb
ligunity_protein_ranking,L1,P08173,662,FAIL
ligunity_protein_ranking,L1,P08238,1377,lmdb
ligunity_protein_ranking,L1,P08246,1476,lmdb
ligunity_protein_ranking,L1,P08253,712,lmdb
ligunity_protein_ranking,L1,P08581,3365,lmdb
ligunity_protein_ranking,L1,P08908,2394,lmdb
ligunity_protein_ranking,L1,P08913,1121,lmdb
ligunity_protein_ranking,L1,P08922,1019,lmdb
ligunity_protein_ranking,L1,P09874,8149,lmdb
ligunity_protein_ranking,L1,P0C6U8,612,FAIL
ligunity_protein_ranking,L1,P0DMS8,3507,FAIL
ligunity_protein_ranking,L1,P0DTD1,21395,FAIL
ligunity_protein_ranking,L1,P10275,765,FAIL
ligunity_protein_ranking,L1,P10415,712,lmdb
ligunity_protein_ranking,L1,P10721,1987,FAIL
ligunity_protein_ranking,L1,P11309,2804,lmdb
ligunity_protein_ranking,L1,P11362,2854,lmdb
ligunity_protein_ranking,L1,P11511,712,lmdb
ligunity_protein_ranking,L1,P11802,3620,FAIL
ligunity_protein_ranking,L1,P12931,4634,lmdb
ligunity_protein_ranking,L1,P13569,1019,lmdb
ligunity_protein_ranking,L1,P14324,509,lmdb
ligunity_protein_ranking,L1,P14618,612,lmdb
ligunity_protein_ranking,L1,P14867,2295,lmdb
ligunity_protein_ranking,L1,P14902,2548,lmdb
ligunity_protein_ranking,L1,P14920,714,lmdb
ligunity_protein_ranking,L1,P15056,2955,lmdb
ligunity_protein_ranking,L1,P15121,916,lmdb
ligunity_protein_ranking,L1,P15538,765,lmdb
ligunity_protein_ranking,L1,P16083,815,lmdb
ligunity_protein_ranking,L1,P16110,663,lmdb
ligunity_protein_ranking,L1,P16234,1987,lmdb
ligunity_protein_ranking,L1,P17252,1121,lmdb
ligunity_protein_ranking,L1,P17706,867,lmdb
ligunity_protein_ranking,L1,P17931,712,lmdb
ligunity_protein_ranking,L1,P18031,5902,lmdb
ligunity_protein_ranking,L1,P18089,815,lmdb
ligunity_protein_ranking,L1,P18825,1020,lmdb
ligunity_protein_ranking,L1,P19099,867,lmdb
ligunity_protein_ranking,L1,P19634,1171,lmdb
ligunity_protein_ranking,L1,P19793,813,FAIL
ligunity_protein_ranking,L1,P21397,1071,lmdb
ligunity_protein_ranking,L1,P21554,5096,lmdb
ligunity_protein_ranking,L1,P21589,1222,lmdb
ligunity_protein_ranking,L1,P21728,1223,lmdb
ligunity_protein_ranking,L1,P21802,917,lmdb
ligunity_protein_ranking,L1,P21918,610,lmdb
ligunity_protein_ranking,L1,P21964,1527,lmdb
ligunity_protein_ranking,L1,P22303,4536,lmdb
ligunity_protein_ranking,L1,P22413,9628,lmdb
ligunity_protein_ranking,L1,P22455,2803,lmdb
ligunity_protein_ranking,L1,P22607,1019,lmdb
ligunity_protein_ranking,L1,P22748,5699,lmdb
ligunity_protein_ranking,L1,P23458,10037,FAIL
ligunity_protein_ranking,L1,P23467,867,lmdb
ligunity_protein_ranking,L1,P24941,2804,FAIL
ligunity_protein_ranking,L1,P25440,660,lmdb
ligunity_protein_ranking,L1,P25774,663,lmdb
ligunity_protein_ranking,L1,P25779,559,lmdb
ligunity_protein_ranking,L1,P27338,7900,lmdb
ligunity_protein_ranking,L1,P27487,1681,lmdb
ligunity_protein_ranking,L1,P28062,714,lmdb
ligunity_protein_ranking,L1,P28074,1885,lmdb
ligunity_protein_ranking,L1,P28221,815,lmdb
ligunity_protein_ranking,L1,P28222,765,lmdb
ligunity_protein_ranking,L1,P28335,4078,lmdb
ligunity_protein_ranking,L1,P28482,763,lmdb
ligunity_protein_ranking,L1,P28566,510,lmdb
ligunity_protein_ranking,L1,P29274,714,FAIL
ligunity_protein_ranking,L1,P29466,867,lmdb
ligunity_protein_ranking,L1,P29597,9519,FAIL
ligunity_protein_ranking,L1,P30291,1529,FAIL
ligunity_protein_ranking,L1,P30530,2548,lmdb
ligunity_protein_ranking,L1,P30542,1017,FAIL
ligunity_protein_ranking,L1,P31153,3213,lmdb
ligunity_protein_ranking,L1,P31639,561,lmdb
ligunity_protein_ranking,L1,P31645,561,lmdb
ligunity_protein_ranking,L1,P31749,6317,lmdb
ligunity_protein_ranking,L1,P31751,1783,lmdb
ligunity_protein_ranking,L1,P33981,1477,lmdb
ligunity_protein_ranking,L1,P34913,6317,lmdb
ligunity_protein_ranking,L1,P34914,5044,lmdb
ligunity_protein_ranking,L1,P34972,3414,FAIL
ligunity_protein_ranking,L1,P35354,2243,lmdb
ligunity_protein_ranking,L1,P35367,510,lmdb
ligunity_protein_ranking,L1,P35372,1427,lmdb
ligunity_protein_ranking,L1,P35968,6924,lmdb
ligunity_protein_ranking,L1,P36776,1020,lmdb
ligunity_protein_ranking,L1,P36888,4282,lmdb
ligunity_protein_ranking,L1,P36897,916,lmdb
ligunity_protein_ranking,L1,P37231,867,lmdb
ligunity_protein_ranking,L1,P41143,713,FAIL
ligunity_protein_ranking,L1,P41145,9834,FAIL
ligunity_protein_ranking,L1,P41182,3208,lmdb
ligunity_protein_ranking,L1,P41240,915,lmdb
ligunity_protein_ranking,L1,P41595,4634,FAIL
ligunity_protein_ranking,L1,P42330,1682,lmdb
ligunity_protein_ranking,L1,P42336,4536,lmdb
ligunity_protein_ranking,L1,P42345,1683,FAIL
ligunity_protein_ranking,L1,P43166,4126,lmdb
ligunity_protein_ranking,L1,P43405,559,lmdb
ligunity_protein_ranking,L1,P43490,867,lmdb
ligunity_protein_ranking,L1,P45983,1733,FAIL
ligunity_protein_ranking,L1,P45984,1631,FAIL
ligunity_protein_ranking,L1,P47989,2804,lmdb
ligunity_protein_ranking,L1,P48039,662,lmdb
ligunity_protein_ranking,L1,P48735,560,lmdb
ligunity_protein_ranking,L1,P48736,6319,FAIL
ligunity_protein_ranking,L1,P49137,509,lmdb
ligunity_protein_ranking,L1,P49286,914,lmdb
ligunity_protein_ranking,L1,P49327,33880,lmdb
ligunity_protein_ranking,L1,P49759,561,lmdb
ligunity_protein_ranking,L1,P49760,662,FAIL
ligunity_protein_ranking,L1,P49840,510,lmdb
ligunity_protein_ranking,L1,P49841,1223,lmdb
ligunity_protein_ranking,L1,P50053,1275,lmdb
ligunity_protein_ranking,L1,P50406,3415,lmdb
ligunity_protein_ranking,L1,P50613,1120,FAIL
ligunity_protein_ranking,L1,P50750,3416,FAIL
ligunity_protein_ranking,L1,P51449,2038,lmdb
ligunity_protein_ranking,L1,P51531,867,lmdb
ligunity_protein_ranking,L1,P51532,507,lmdb
ligunity_protein_ranking,L1,P51617,765,lmdb
ligunity_protein_ranking,L1,P51812,815,lmdb
ligunity_protein_ranking,L1,P51813,764,lmdb
ligunity_protein_ranking,L1,P51955,866,lmdb
ligunity_protein_ranking,L1,P52333,13042,lmdb
ligunity_protein_ranking,L1,P53350,1223,lmdb
ligunity_protein_ranking,L1,P53634,2953,lmdb
ligunity_protein_ranking,L1,P53779,1631,FAIL
ligunity_protein_ranking,L1,P54646,1171,lmdb
ligunity_protein_ranking,L1,P55055,661,FAIL
ligunity_protein_ranking,L1,P56524,1428,lmdb
ligunity_protein_ranking,L1,P56817,13247,lmdb
ligunity_protein_ranking,L1,P61964,867,lmdb
ligunity_protein_ranking,L1,P62937,917,lmdb
ligunity_protein_ranking,L1,P68400,714,FAIL
ligunity_protein_ranking,L1,P78527,509,lmdb
ligunity_protein_ranking,L1,P78540,815,lmdb
ligunity_protein_ranking,L1,P80457,1631,lmdb
ligunity_protein_ranking,L1,Q00534,561,lmdb
ligunity_protein_ranking,L1,Q00535,968,FAIL
ligunity_protein_ranking,L1,Q01650,918,lmdb
ligunity_protein_ranking,L1,Q02127,3766,lmdb
ligunity_protein_ranking,L1,Q02750,713,lmdb
ligunity_protein_ranking,L1,Q03181,764,lmdb
ligunity_protein_ranking,L1,Q04609,1836,lmdb
ligunity_protein_ranking,L1,Q04759,968,lmdb
ligunity_protein_ranking,L1,Q05397,4588,lmdb
ligunity_protein_ranking,L1,Q05586,2240,FAIL
ligunity_protein_ranking,L1,Q06124,1424,lmdb
ligunity_protein_ranking,L1,Q06187,18092,lmdb
ligunity_protein_ranking,L1,Q07343,2396,lmdb
ligunity_protein_ranking,L1,Q07422,612,lmdb
ligunity_protein_ranking,L1,Q07817,709,lmdb
ligunity_protein_ranking,L1,Q07820,2647,lmdb
ligunity_protein_ranking,L1,Q07869,764,lmdb
ligunity_protein_ranking,L1,Q07889,1070,FAIL
ligunity_protein_ranking,L1,Q07912,510,lmdb
ligunity_protein_ranking,L1,Q08345,968,lmdb
ligunity_protein_ranking,L1,Q08499,917,lmdb
ligunity_protein_ranking,L1,Q08881,815,lmdb
ligunity_protein_ranking,L1,Q12866,2292,lmdb
ligunity_protein_ranking,L1,Q12879,865,lmdb
ligunity_protein_ranking,L1,Q12884,2446,lmdb
ligunity_protein_ranking,L1,Q13043,2549,lmdb
ligunity_protein_ranking,L1,Q13085,612,lmdb
ligunity_protein_ranking,L1,Q13131,1326,lmdb
ligunity_protein_ranking,L1,Q13133,815,FAIL
ligunity_protein_ranking,L1,Q13164,815,lmdb
ligunity_protein_ranking,L1,Q13188,2548,lmdb
ligunity_protein_ranking,L1,Q13224,1731,lmdb
ligunity_protein_ranking,L1,Q13315,712,lmdb
ligunity_protein_ranking,L1,Q13464,1119,lmdb
ligunity_protein_ranking,L1,Q13526,1018,lmdb
ligunity_protein_ranking,L1,Q13546,2753,lmdb
ligunity_protein_ranking,L1,Q13547,18393,lmdb
ligunity_protein_ranking,L1,Q13627,5653,lmdb
ligunity_protein_ranking,L1,Q13822,1426,lmdb
ligunity_protein_ranking,L1,Q13946,610,lmdb
ligunity_protein_ranking,L1,Q14145,663,lmdb
ligunity_protein_ranking,L1,Q14289,1018,lmdb
ligunity_protein_ranking,L1,Q15059,2193,lmdb
ligunity_protein_ranking,L1,Q15118,662,lmdb
ligunity_protein_ranking,L1,Q15303,712,lmdb
ligunity_protein_ranking,L1,Q15561,2905,lmdb
ligunity_protein_ranking,L1,Q15910,1581,lmdb
ligunity_protein_ranking,L1,Q16288,1020,lmdb
ligunity_protein_ranking,L1,Q16512,816,lmdb
ligunity_protein_ranking,L1,Q16539,713,FAIL
ligunity_protein_ranking,L1,Q16620,967,lmdb
ligunity_protein_ranking,L1,Q16678,5450,lmdb
ligunity_protein_ranking,L1,Q16769,1375,lmdb
ligunity_protein_ranking,L1,Q16790,10448,FAIL
ligunity_protein_ranking,L1,Q2M2I8,1479,lmdb
ligunity_protein_ranking,L1,Q5S007,1478,lmdb
ligunity_protein_ranking,L1,Q5TCY1,816,lmdb
ligunity_protein_ranking,L1,Q6GI75,816,lmdb
ligunity_protein_ranking,L1,Q6P179,611,lmdb
ligunity_protein_ranking,L1,Q72547,1785,lmdb
ligunity_protein_ranking,L1,Q86W56,2139,lmdb
ligunity_protein_ranking,L1,Q86WV6,1275,lmdb
ligunity_protein_ranking,L1,Q86X55,2446,lmdb
ligunity_protein_ranking,L1,Q86YT5,816,lmdb
ligunity_protein_ranking,L1,Q8IXJ6,1222,lmdb
ligunity_protein_ranking,L1,Q8N1Q1,510,lmdb
ligunity_protein_ranking,L1,Q8N884,713,lmdb
ligunity_protein_ranking,L1,Q8NEB9,663,lmdb
ligunity_protein_ranking,L1,Q8NER1,510,lmdb
ligunity_protein_ranking,L1,Q8R4B8,1018,lmdb
ligunity_protein_ranking,L1,Q8TF76,663,lmdb
ligunity_protein_ranking,L1,Q8WUI4,865,lmdb
ligunity_protein_ranking,L1,Q92769,6469,lmdb
ligunity_protein_ranking,L1,Q92793,612,lmdb
ligunity_protein_ranking,L1,Q92918,8204,lmdb
ligunity_protein_ranking,L1,Q93009,813,lmdb
ligunity_protein_ranking,L1,Q96EB6,561,lmdb
ligunity_protein_ranking,L1,Q96GD4,1224,lmdb
ligunity_protein_ranking,L1,Q96KQ7,1527,lmdb
ligunity_protein_ranking,L1,Q96LA8,611,lmdb
ligunity_protein_ranking,L1,Q96MU7,560,lmdb
ligunity_protein_ranking,L1,Q96P20,1224,lmdb
ligunity_protein_ranking,L1,Q96RI1,660,FAIL
ligunity_protein_ranking,L1,Q96S37,1223,lmdb
ligunity_protein_ranking,L1,Q99640,2291,lmdb
ligunity_protein_ranking,L1,Q99683,815,lmdb
ligunity_protein_ranking,L1,Q99685,560,lmdb
ligunity_protein_ranking,L1,Q99720,3208,lmdb
ligunity_protein_ranking,L1,Q99873,1730,lmdb
ligunity_protein_ranking,L1,Q9BUB5,662,lmdb
ligunity_protein_ranking,L1,Q9BV86,714,lmdb
ligunity_protein_ranking,L1,Q9BY41,5301,lmdb
ligunity_protein_ranking,L1,Q9C0B1,4130,lmdb
ligunity_protein_ranking,L1,Q9GZQ8,916,lmdb
ligunity_protein_ranking,L1,Q9H2K2,1734,lmdb
ligunity_protein_ranking,L1,Q9H999,1428,lmdb
ligunity_protein_ranking,L1,Q9H9B1,916,FAIL
ligunity_protein_ranking,L1,Q9HBH9,612,lmdb
ligunity_protein_ranking,L1,Q9NQS5,663,lmdb
ligunity_protein_ranking,L1,Q9NWZ3,4633,lmdb
ligunity_protein_ranking,L1,Q9NXA8,662,lmdb
ligunity_protein_ranking,L1,Q9NYV4,714,lmdb
ligunity_protein_ranking,L1,Q9NZQ7,4333,lmdb
ligunity_protein_ranking,L1,Q9P1W9,1172,lmdb
ligunity_protein_ranking,L1,Q9UQB9,510,lmdb
ligunity_protein_ranking,L1,Q9UQD0,765,lmdb
ligunity_protein_ranking,L1,Q9Y233,2140,lmdb
ligunity_protein_ranking,L1,Q9Y2K2,1935,lmdb
ligunity_protein_ranking,L1,Q9Y2R2,611,lmdb
ligunity_protein_ranking,L1,Q9Y463,1224,lmdb
ligunity_protein_ranking,L1,Q9Y5Y9,2088,lmdb
ligunity_protein_ranking,L1,Q9Y5Z0,11569,lmdb
ligunity_protein_ranking,L2,C7C422,3720,FAIL
ligunity_protein_ranking,L2,I6YFP0,559,lmdb
ligunity_protein_ranking,L2,O00141,1733,lmdb
ligunity_protein_ranking,L2,O00255,20330,lmdb
ligunity_protein_ranking,L2,O00329,41723,FAIL
ligunity_protein_ranking,L2,O00444,1835,lmdb
ligunity_protein_ranking,L2,O00763,2345,lmdb
ligunity_protein_ranking,L2,O14684,6371,lmdb
ligunity_protein_ranking,L2,O14733,815,lmdb
ligunity_protein_ranking,L2,O14744,41468,lmdb
ligunity_protein_ranking,L2,O14757,9683,lmdb
ligunity_protein_ranking,L2,O14842,918,lmdb
ligunity_protein_ranking,L2,O14965,2597,lmdb
ligunity_protein_ranking,L2,O14976,1680,lmdb
ligunity_protein_ranking,L2,O15151,561,lmdb
ligunity_protein_ranking,L2,O15379,21046,lmdb
ligunity_protein_ranking,L2,O43318,765,lmdb
ligunity_protein_ranking,L2,O43353,15132,lmdb
ligunity_protein_ranking,L2,O43497,7896,lmdb
ligunity_protein_ranking,L2,O43570,12175,lmdb
ligunity_protein_ranking,L2,O43613,5042,lmdb
ligunity_protein_ranking,L2,O43614,7392,lmdb
ligunity_protein_ranking,L2,O43924,713,lmdb
ligunity_protein_ranking,L2,O60341,41115,lmdb
ligunity_protein_ranking,L2,O60502,15337,lmdb
ligunity_protein_ranking,L2,O60674,38669,lmdb
ligunity_protein_ranking,L2,O60760,1581,lmdb
ligunity_protein_ranking,L2,O60885,29355,lmdb
ligunity_protein_ranking,L2,O75116,15337,lmdb
ligunity_protein_ranking,L2,O75173,4228,lmdb
ligunity_protein_ranking,L2,O75385,20778,lmdb
ligunity_protein_ranking,L2,O75417,96122,lmdb
ligunity_protein_ranking,L2,O75460,14163,lmdb
ligunity_protein_ranking,L2,O75762,12266,lmdb
ligunity_protein_ranking,L2,O75874,3059,lmdb
ligunity_protein_ranking,L2,O75936,1171,lmdb
ligunity_protein_ranking,L2,O76074,1427,lmdb
ligunity_protein_ranking,L2,O76083,8151,lmdb
ligunity_protein_ranking,L2,O95271,2804,lmdb
ligunity_protein_ranking,L2,O95497,6012,lmdb
ligunity_protein_ranking,L2,O95819,3364,lmdb
ligunity_protein_ranking,L2,O96013,1782,lmdb
ligunity_protein_ranking,L2,O96017,3312,lmdb
ligunity_protein_ranking,L2,O96028,3923,lmdb
ligunity_protein_ranking,L2,P00338,5148,lmdb
ligunity_protein_ranking,L2,P00519,14973,lmdb
ligunity_protein_ranking,L2,P00533,104283,lmdb
ligunity_protein_ranking,L2,P00734,3669,lmdb
ligunity_protein_ranking,L2,P00742,3362,lmdb
ligunity_protein_ranking,L2,P00746,18546,lmdb
ligunity_protein_ranking,L2,P00748,1578,lmdb
ligunity_protein_ranking,L2,P00751,7433,FAIL
ligunity_protein_ranking,L2,P00797,1884,lmdb
ligunity_protein_ranking,L2,P00915,11360,lmdb
ligunity_protein_ranking,L2,P00918,17323,lmdb
ligunity_protein_ranking,L2,P01116,145493,FAIL
ligunity_protein_ranking,L2,P01375,1071,lmdb
ligunity_protein_ranking,L2,P02753,1172,lmdb
ligunity_protein_ranking,L2,P03372,11108,lmdb
ligunity_protein_ranking,L2,P03951,5146,lmdb
ligunity_protein_ranking,L2,P03952,6621,lmdb
ligunity_protein_ranking,L2,P04049,33417,FAIL
ligunity_protein_ranking,L2,P04150,14570,lmdb
ligunity_protein_ranking,L2,P04293,18090,lmdb
ligunity_protein_ranking,L2,P04585,712,lmdb
ligunity_protein_ranking,L2,P04626,51136,lmdb
ligunity_protein_ranking,L2,P04629,30457,lmdb
ligunity_protein_ranking,L2,P04798,1734,lmdb
ligunity_protein_ranking,L2,P04818,1326,lmdb
ligunity_protein_ranking,L2,P05089,663,lmdb
ligunity_protein_ranking,L2,P05177,1833,lmdb
ligunity_protein_ranking,L2,P05981,714,lmdb
ligunity_protein_ranking,L2,P06239,36427,lmdb
ligunity_protein_ranking,L2,P06241,2753,lmdb
ligunity_protein_ranking,L2,P06276,7078,lmdb
ligunity_protein_ranking,L2,P06401,1018,lmdb
ligunity_protein_ranking,L2,P06493,9483,FAIL
ligunity_protein_ranking,L2,P06730,1171,lmdb
ligunity_protein_ranking,L2,P06935,4587,lmdb
ligunity_protein_ranking,L2,P07333,39376,lmdb
ligunity_protein_ranking,L2,P07711,5750,lmdb
ligunity_protein_ranking,L2,P07858,1477,lmdb
ligunity_protein_ranking,L2,P07900,1783,lmdb
ligunity_protein_ranking,L2,P07948,510,lmdb
ligunity_protein_ranking,L2,P07949,13407,lmdb
ligunity_protein_ranking,L2,P08069,18295,lmdb
ligunity_protein_ranking,L2,P08172,2446,lmdb
ligunity_protein_ranking,L2,P08173,3974,lmdb
ligunity_protein_ranking,L2,P08183,1326,lmdb
ligunity_protein_ranking,L2,P08238,2495,lmdb
ligunity_protein_ranking,L2,P08246,509,lmdb
ligunity_protein_ranking,L2,P08253,1274,lmdb
ligunity_protein_ranking,L2,P08254,816,lmdb
ligunity_protein_ranking,L2,P08581,42337,lmdb
ligunity_protein_ranking,L2,P08684,1376,lmdb
ligunity_protein_ranking,L2,P08908,10550,lmdb
ligunity_protein_ranking,L2,P08912,1325,lmdb
ligunity_protein_ranking,L2,P08922,2598,lmdb
ligunity_protein_ranking,L2,P09237,1070,lmdb
ligunity_protein_ranking,L2,P09238,866,lmdb
ligunity_protein_ranking,L2,P09382,25723,lmdb
ligunity_protein_ranking,L2,P09874,46976,lmdb
ligunity_protein_ranking,L2,P09917,712,lmdb
ligunity_protein_ranking,L2,P09960,764,lmdb
ligunity_protein_ranking,L2,P0A017,1019,lmdb
ligunity_protein_ranking,L2,P0A0K8,1326,lmdb
ligunity_protein_ranking,L2,P0A725,1120,lmdb
ligunity_protein_ranking,L2,P0AES6,1274,lmdb
ligunity_protein_ranking,L2,P0DMS8,2549,lmdb
ligunity_protein_ranking,L2,P0DTD1,97973,lmdb
ligunity_protein_ranking,L2,P0DUB6,1989,lmdb
ligunity_protein_ranking,L2,P10275,7384,FAIL
ligunity_protein_ranking,L2,P10398,5246,lmdb
ligunity_protein_ranking,L2,P10415,51307,FAIL
ligunity_protein_ranking,L2,P10721,57170,lmdb
ligunity_protein_ranking,L2,P11229,1221,lmdb
ligunity_protein_ranking,L2,P11309,3363,lmdb
ligunity_protein_ranking,L2,P11362,25524,lmdb
ligunity_protein_ranking,L2,P11474,10140,lmdb
ligunity_protein_ranking,L2,P11511,867,lmdb
ligunity_protein_ranking,L2,P11802,71420,lmdb
ligunity_protein_ranking,L2,P12931,3512,lmdb
ligunity_protein_ranking,L2,P13569,2446,lmdb
ligunity_protein_ranking,L2,P13866,560,lmdb
ligunity_protein_ranking,L2,P13995,560,lmdb
ligunity_protein_ranking,L2,P14207,1120,lmdb
ligunity_protein_ranking,L2,P14555,763,FAIL
ligunity_protein_ranking,L2,P14618,2038,lmdb
ligunity_protein_ranking,L2,P14756,3620,lmdb
ligunity_protein_ranking,L2,P14780,1629,lmdb
ligunity_protein_ranking,L2,P14867,6316,lmdb
ligunity_protein_ranking,L2,P14902,1782,lmdb
ligunity_protein_ranking,L2,P15056,39182,lmdb
ligunity_protein_ranking,L2,P15428,18398,lmdb
ligunity_protein_ranking,L2,P15559,4274,lmdb
ligunity_protein_ranking,L2,P16234,20178,lmdb
ligunity_protein_ranking,L2,P17252,1529,lmdb
ligunity_protein_ranking,L2,P17516,969,lmdb
ligunity_protein_ranking,L2,P17612,764,lmdb
ligunity_protein_ranking,L2,P17706,4585,lmdb
ligunity_protein_ranking,L2,P17812,13850,FAIL
ligunity_protein_ranking,L2,P17931,45798,lmdb
ligunity_protein_ranking,L2,P18031,13142,lmdb
ligunity_protein_ranking,L2,P18054,1784,lmdb
ligunity_protein_ranking,L2,P18825,6367,lmdb
ligunity_protein_ranking,L2,P19099,764,lmdb
ligunity_protein_ranking,L2,P20309,1270,lmdb
ligunity_protein_ranking,L2,P20618,3717,lmdb
ligunity_protein_ranking,L2,P20831,1577,lmdb
ligunity_protein_ranking,L2,P21397,1835,lmdb
ligunity_protein_ranking,L2,P21554,2699,lmdb
ligunity_protein_ranking,L2,P21589,8710,lmdb
ligunity_protein_ranking,L2,P21728,1019,lmdb
ligunity_protein_ranking,L2,P21802,24657,lmdb
ligunity_protein_ranking,L2,P22303,10246,FAIL
ligunity_protein_ranking,L2,P22413,26696,lmdb
ligunity_protein_ranking,L2,P22455,5910,lmdb
ligunity_protein_ranking,L2,P22607,19564,lmdb
ligunity_protein_ranking,L2,P22748,867,lmdb
ligunity_protein_ranking,L2,P22894,764,lmdb
ligunity_protein_ranking,L2,P23458,31688,lmdb
ligunity_protein_ranking,L2,P23467,3924,lmdb
ligunity_protein_ranking,L2,P23921,510,lmdb
ligunity_protein_ranking,L2,P23946,3616,lmdb
ligunity_protein_ranking,L2,P23975,917,lmdb
ligunity_protein_ranking,L2,P24941,82991,lmdb
ligunity_protein_ranking,L2,P25440,1629,lmdb
ligunity_protein_ranking,L2,P25774,1679,lmdb
ligunity_protein_ranking,L2,P27338,6319,lmdb
ligunity_protein_ranking,L2,P27487,5907,lmdb
ligunity_protein_ranking,L2,P28062,1223,lmdb
ligunity_protein_ranking,L2,P28065,1377,lmdb
ligunity_protein_ranking,L2,P28074,16559,lmdb
ligunity_protein_ranking,L2,P28335,15080,lmdb
ligunity_protein_ranking,L2,P28482,33886,lmdb
ligunity_protein_ranking,L2,P28845,765,lmdb
ligunity_protein_ranking,L2,P28907,8453,lmdb
ligunity_protein_ranking,L2,P29274,39590,lmdb
ligunity_protein_ranking,L2,P29275,18241,lmdb
ligunity_protein_ranking,L2,P29375,2394,lmdb
ligunity_protein_ranking,L2,P29466,1070,lmdb
ligunity_protein_ranking,L2,P29597,69898,FAIL
ligunity_protein_ranking,L2,P30291,6062,lmdb
ligunity_protein_ranking,L2,P30530,47280,lmdb
ligunity_protein_ranking,L2,P30542,5806,lmdb
ligunity_protein_ranking,L2,P30559,561,lmdb
ligunity_protein_ranking,L2,P31153,27616,lmdb
ligunity_protein_ranking,L2,P31391,5094,lmdb
ligunity_protein_ranking,L2,P31639,611,lmdb
ligunity_protein_ranking,L2,P31644,18297,lmdb
ligunity_protein_ranking,L2,P31645,5556,lmdb
ligunity_protein_ranking,L2,P31749,10852,lmdb
ligunity_protein_ranking,L2,P31751,6010,lmdb
ligunity_protein_ranking,L2,P32245,10596,lmdb
ligunity_protein_ranking,L2,P32297,612,lmdb
ligunity_protein_ranking,L2,P33981,2496,lmdb
ligunity_protein_ranking,L2,P34913,3152,FAIL
ligunity_protein_ranking,L2,P34914,10091,lmdb
ligunity_protein_ranking,L2,P34947,2241,lmdb
ligunity_protein_ranking,L2,P34972,3207,lmdb
ligunity_protein_ranking,L2,P35354,5044,lmdb
ligunity_protein_ranking,L2,P35367,1733,lmdb
ligunity_protein_ranking,L2,P35372,10037,FAIL
ligunity_protein_ranking,L2,P35408,2447,lmdb
ligunity_protein_ranking,L2,P35968,47227,lmdb
ligunity_protein_ranking,L2,P36544,1070,lmdb
ligunity_protein_ranking,L2,P36776,4486,lmdb
ligunity_protein_ranking,L2,P36888,25776,lmdb
ligunity_protein_ranking,L2,P36897,14113,lmdb
ligunity_protein_ranking,L2,P37023,816,lmdb
ligunity_protein_ranking,L2,P39900,4225,lmdb
ligunity_protein_ranking,L2,P40261,663,lmdb
ligunity_protein_ranking,L2,P40337,1119,lmdb
ligunity_protein_ranking,L2,P40763,2548,lmdb
ligunity_protein_ranking,L2,P41143,4686,FAIL
ligunity_protein_ranking,L2,P41145,26801,FAIL
ligunity_protein_ranking,L2,P41146,2753,lmdb
ligunity_protein_ranking,L2,P41182,20687,lmdb
ligunity_protein_ranking,L2,P41240,8869,lmdb
ligunity_protein_ranking,L2,P41594,1325,lmdb
ligunity_protein_ranking,L2,P41595,2494,lmdb
ligunity_protein_ranking,L2,P42330,3922,lmdb
ligunity_protein_ranking,L2,P42336,43501,lmdb
ligunity_protein_ranking,L2,P42345,4076,lmdb
ligunity_protein_ranking,L2,P43116,1629,FAIL
ligunity_protein_ranking,L2,P43166,1987,lmdb
ligunity_protein_ranking,L2,P43235,561,lmdb
ligunity_protein_ranking,L2,P43405,5299,lmdb
ligunity_protein_ranking,L2,P43490,24555,lmdb
ligunity_protein_ranking,L2,P43681,561,FAIL
ligunity_protein_ranking,L2,P45452,1782,lmdb
ligunity_protein_ranking,L2,P45983,1426,lmdb
ligunity_protein_ranking,L2,P45984,2752,lmdb
ligunity_protein_ranking,L2,P47205,7491,lmdb
ligunity_protein_ranking,L2,P47989,714,lmdb
ligunity_protein_ranking,L2,P48039,612,lmdb
